"RL21001: RAHVASTIK, 31. DETSEMBER 2021 | Aasta, Sugu, Elukoht ning Vanus"

"Aasta","Sugu","Elukoht","Vanus kokku"
"2021","Mehed ja naised","....Põlva vald, v.a Põlva linn asustusüksusena",7941
"2021","Mehed ja naised","..Räpina vald",6115
"2021","Mehed ja naised","....Räpina linn asustusüksusena",2213
"2021","Mehed ja naised","....Räpina vald, v.a Räpina linn asustusüksusena",3902
"2021","Mehed ja naised","PÄRNU MAAKOND",85710
"2021","Mehed ja naised","..Pärnu maakond: linnaline asustuspiirkond",40243
"2021","Mehed ja naised","..Pärnu maakond: väikelinnaline asustuspiirkond",10137
"2021","Mehed ja naised","..Pärnu maakond: maaline asustuspiirkond",35330
"2021","Mehed ja naised","..Häädemeeste vald",4616
"2021","Mehed ja naised","..Kihnu vald",551
"2021","Mehed ja naised","..Lääneranna vald",5073
"2021","Mehed ja naised","....Lihula linn asustusüksusena",1239
"2021","Mehed ja naised","....Lääneranna vald, v.a Lihula linn asustusüksusena",3834
"2021","Mehed ja naised","..Põhja-Pärnumaa vald",8048
"2021","Mehed ja naised","..Pärnu linn",51212
"2021","Mehed ja naised","....Pärnu linn asustusüksusena",40228
"2021","Mehed ja naised","....Pärnu linn, v.a Pärnu linn asustusüksusena",10984
"2021","Mehed ja naised","..Saarde vald",4349
"2021","Mehed ja naised","....Kilingi-Nõmme linn asustusüksusena",1623
"2021","Mehed ja naised","....Saarde vald, v.a Kilingi-Nõmme linn asustusüksusena",2726
"2021","Mehed ja naised","..Tori vald",11861
"2021","Mehed ja naised","....Sindi linn asustusüksusena",3750
"2021","Mehed ja naised","....Tori vald, v.a Sindi linn asustusüksusena",8111
"2021","Mehed ja naised","RAPLA MAAKOND",33529
"2021","Mehed ja naised","..Rapla maakond: linnaline asustuspiirkond",0
"2021","Mehed ja naised","..Rapla maakond: väikelinnaline asustuspiirkond",5892
"2021","Mehed ja naised","..Rapla maakond: maaline asustuspiirkond",27637
"2021","Mehed ja naised","..Kehtna vald",5407
"2021","Mehed ja naised","..Kohila vald",7525
"2021","Mehed ja naised","..Märjamaa vald",7368
"2021","Mehed ja naised","..Rapla vald",13229
"2021","Mehed ja naised","....Rapla linn asustusüksusena",5254
"2021","Mehed ja naised","....Rapla vald, v.a Rapla linn asustusüksusena",7975
"2021","Mehed ja naised","SAARE MAAKOND",31292
"2021","Mehed ja naised","..Saare maakond: linnaline asustuspiirkond",13687
"2021","Mehed ja naised","..Saare maakond: väikelinnaline asustuspiirkond",0
"2021","Mehed ja naised","..Saare maakond: maaline asustuspiirkond",17605
"2021","Mehed ja naised","..Muhu vald",1646
"2021","Mehed ja naised","..Ruhnu vald",89
"2021","Mehed ja naised","..Saaremaa vald",29557
"2021","Mehed ja naised","....Kuressaare linn asustusüksusena",13034
"2021","Mehed ja naised","....Saaremaa vald, v.a Kuressaare linn asustusüksusena",16523
"2021","Mehed ja naised","TARTU MAAKOND",157760
"2021","Mehed ja naised","..Tartu maakond: linnaline asustuspiirkond",95207
"2021","Mehed ja naised","..Tartu maakond: väikelinnaline asustuspiirkond",20366
"2021","Mehed ja naised","..Tartu maakond: maaline asustuspiirkond",42187
"2021","Mehed ja naised","..Elva vald",14707
"2021","Mehed ja naised","....Elva linn asustusüksusena",5645
"2021","Mehed ja naised","....Elva vald, v.a Elva linn asustusüksusena",9062
"2021","Mehed ja naised","..Kambja vald",12858
"2021","Mehed ja naised","..Kastre vald",5402
"2021","Mehed ja naised","..Luunja vald",5378
"2021","Mehed ja naised","..Nõo vald",4266
"2021","Mehed ja naised","..Peipsiääre vald",5108
"2021","Mehed ja naised","....Kallaste linn asustusüksusena",680
"2021","Mehed ja naised","....Peipsiääre vald, v.a Kallaste linn asustusüksusena",4428
"2021","Mehed ja naised","..Tartu linn",98313
"2021","Mehed ja naised","....Tartu linn asustusüksusena",95190
"2021","Mehed ja naised","....Tartu linn, v.a Tartu linn asustusüksusena",3123
"2021","Mehed ja naised","..Tartu vald",11728
"2021","Mehed ja naised","VALGA MAAKOND",27651
"2021","Mehed ja naised","..Valga maakond: linnaline asustuspiirkond",12013
"2021","Mehed ja naised","..Valga maakond: väikelinnaline asustuspiirkond",0
"2021","Mehed ja naised","..Valga maakond: maaline asustuspiirkond",15638
"2021","Mehed ja naised","..Otepää vald",6238
"2021","Mehed ja naised","....Otepää linn asustusüksusena",2134
"2021","Mehed ja naised","....Otepää vald, v.a Otepää linn asustusüksusena",4104
"2021","Mehed ja naised","..Tõrva vald",5872
"2021","Mehed ja naised","....Tõrva linn asustusüksusena",2701
"2021","Mehed ja naised","....Tõrva vald, v.a Tõrva linn asustusüksusena",3171
"2021","Mehed ja naised","..Valga vald",15541
"2021","Mehed ja naised","....Valga linn asustusüksusena",12010
"2021","Mehed ja naised","....Valga vald, v.a Valga linn asustusüksusena",3531
"2021","Mehed ja naised","VILJANDI MAAKOND",45413
"2021","Mehed ja naised","..Viljandi maakond: linnaline asustuspiirkond",17245
"2021","Mehed ja naised","..Viljandi maakond: väikelinnaline asustuspiirkond",1300
